
[20:25:54.954598]: 1_Google_697_(2020-03-13)
[20:25:55.966776]: 0_Telefonica_550_(2020-03-13)
[20:25:56.976141]: 1_Google_606_(2020-03-13)
[20:25:57.985141]: 1_Google_177_(2020-03-13)
[20:25:58.908671]: 0_Telefonica_205_(2020-03-13)
[20:25:58.994304]: 1_Google_430_(2020-03-13)
[20:26:00.004080]: 0_Telefonica_209_(2020-03-13)
[20:26:01.018935]: 0_Telefonica_519_(2020-03-13)
[20:26:02.061505]: 1_Google_423_(2020-03-13)
[20:26:02.909623]: 0_Telefonica_411_(2020-03-13)
[20:26:03.075329]: 1_Google_213_(2020-03-13)
