
[00:34:34.706079]: 4_NASA_393_(2020-04-02)
[00:34:36.410431]: 3_Tesla_672_(2020-04-02)
[00:34:37.435352]: 4_NASA_486_(2020-04-02)
[00:34:38.459764]: 3_Tesla_331_(2020-04-02)
[00:34:58.251134]: 3_Tesla_548_(2020-04-08)
[00:34:59.519353]: 1_Google_602_(2020-04-08)
[00:35:01.031265]: 2_Apple_189_(2020-04-08)
[00:35:03.027459]: 0_Telefonica_547_(2020-04-08)
[00:35:05.028967]: 3_Tesla_282_(2020-04-08)
[02:06:34.928920]: 4_NASA_320_(2020-04-08)
[02:06:36.465921]: 3_Tesla_646_(2020-04-08)
[02:23:52.470489]: 3_Tesla_437_(2020-04-08)
[02:23:54.476257]: 4_NASA_501_(2020-04-08)
[02:23:56.478106]: 5_Microsoft_151_(2020-04-08)
