
[11:05:20.638060]: 0_Telefonica_602_(2020-04-14)
[11:05:22.430156]: 0_Telefonica_545_(2020-04-15)
[11:05:23.501011]: 0_Telefonica_145_(2020-04-15)
[11:07:05.929794]: 2_Apple_306_(2020-04-15)
[11:07:07.932477]: 4_NASA_316_(2020-04-15)
[11:07:09.936270]: 2_Apple_196_(2020-04-15)
[11:07:11.939097]: 1_Google_388_(2020-04-15)
[11:07:13.937141]: 1_Google_409_(2020-04-15)
[12:37:31.896461]: 0_Telefonica_627_(2020-04-15)
[12:37:33.898124]: 1_Google_585_(2020-04-15)
[12:37:35.899102]: 4_NASA_602_(2020-04-15)
[12:37:37.901860]: 1_Google_370_(2020-04-15)
[12:37:39.903882]: 2_Apple_476_(2020-04-15)
[12:37:41.909702]: 1_Google_371_(2020-04-15)
[12:37:43.907314]: 0_Telefonica_645_(2020-04-15)
[12:37:45.913322]: 4_NASA_256_(2020-04-15)
[15:35:25.775299]: 1_Google_623_(2020-04-15)
[17:00:51.710393]: 1_Google_553_(2020-04-15)
[17:00:53.680270]: 3_Tesla_581_(2020-04-15)
[17:00:55.680043]: 4_NASA_312_(2020-04-15)
[17:00:57.680152]: 0_Telefonica_334_(2020-04-15)
[17:00:59.684478]: 0_Telefonica_111_(2020-04-15)
[17:01:01.681861]: 2_Apple_128_(2020-04-15)
[17:01:03.687439]: 4_NASA_341_(2020-04-15)
[17:01:05.687282]: 3_Tesla_644_(2020-04-15)
[17:01:07.693380]: 1_Google_468_(2020-04-15)
[17:01:09.694439]: 0_Telefonica_158_(2020-04-15)
[17:01:11.694546]: 0_Telefonica_363_(2020-04-15)
[17:01:13.695294]: 3_Tesla_446_(2020-04-15)
[17:01:15.698547]: 0_Telefonica_137_(2020-04-15)
[17:01:17.699221]: 2_Apple_618_(2020-04-15)
[17:01:19.699676]: 0_Telefonica_198_(2020-04-15)
