
[17:58:22.597458]: 1_Google_194_(2020-03-14)
[17:58:23.600361]: 0_Telefonica_415_(2020-03-14)
[17:58:24.603353]: 1_Google_336_(2020-03-14)
[17:58:25.625308]: 1_Google_352_(2020-03-14)
[17:58:26.427572]: 1_Google_333_(2020-03-14)
[22:32:06.703533]: 0_Telefonica_611_(2020-03-14)
[22:48:50.691384]: 1_Google_549_(2020-03-14)
[22:48:52.692098]: 1_Google_468_(2020-03-14)
[22:54:38.700764]: 0_Telefonica_219_(2020-03-14)
[22:54:40.706167]: 1_Google_537_(2020-03-14)
[22:57:51.322221]: 0_Telefonica_318_(2020-03-14)
[22:57:53.325136]: 0_Telefonica_449_(2020-03-14)
[22:57:55.323815]: 1_Google_259_(2020-03-14)
[22:57:57.325354]: 1_Google_360_(2020-03-14)
[22:59:57.245978]: 0_Telefonica_285_(2020-03-14)
[23:00:04.409963]: 1_Google_698_(2020-03-14)
[23:00:09.396556]: 0_Telefonica_303_(2020-03-14)
[23:00:10.459745]: 1_Google_366_(2020-03-14)
[23:00:11.488269]: 1_Google_340_(2020-03-14)
[23:02:53.544328]: 0_Telefonica_641_(2020-03-14)
[23:03:23.864963]: __693_(2020-03-14)
[23:03:25.864227]: __102_(2020-03-14)
[23:06:05.922221]: __699_(2020-03-14)
[23:06:07.923396]: __432_(2020-03-14)
[23:06:10.402071]: __521_(2020-03-14)
[23:06:13.844609]: __697_(2020-03-14)
[23:06:20.488427]: __682_(2020-03-14)
[23:07:24.230319]: __379_(2020-03-14)
[23:08:16.488237]: __312_(2020-03-14)
[23:08:18.485396]: __251_(2020-03-14)
[23:08:20.487788]: __223_(2020-03-14)
[23:08:22.486840]: __566_(2020-03-14)
[23:08:24.492039]: __232_(2020-03-14)
[23:08:26.496912]: __642_(2020-03-14)
[23:08:28.491398]: __355_(2020-03-14)
[23:09:17.604093]: __112_(2020-03-14)
[23:09:20.804925]: 1_Google_163_(2020-03-14)
[23:09:22.806627]: 0_Telefonica_136_(2020-03-14)
[23:09:24.810706]: 1_Google_397_(2020-03-14)
[23:09:26.809037]: 0_Telefonica_678_(2020-03-14)
[23:09:28.809655]: 0_Telefonica_162_(2020-03-14)
[23:09:30.815449]: 0_Telefonica_693_(2020-03-14)
[23:09:32.811736]: 0_Telefonica_378_(2020-03-14)
[23:09:34.813666]: 0_Telefonica_135_(2020-03-14)
[23:11:33.141689]: 0_Telefonica_548_(2020-03-14)
[23:11:38.023999]: 0_Telefonica_146_(2020-03-14)
[23:11:42.064340]: 1_Google_459_(2020-03-14)
[23:11:43.098435]: 1_Google_511_(2020-03-14)
[23:11:44.137339]: 1_Google_633_(2020-03-14)
[23:11:45.172307]: 1_Google_569_(2020-03-14)
[23:11:46.222893]: 0_Telefonica_476_(2020-03-14)
[23:11:47.251829]: 0_Telefonica_412_(2020-03-14)
[23:11:48.319549]: 1_Google_389_(2020-03-14)
[23:11:49.425548]: 0_Telefonica_137_(2020-03-14)
[23:11:50.561988]: 0_Telefonica_330_(2020-03-14)
[23:11:51.604349]: 0_Telefonica_589_(2020-03-14)
[23:11:52.701507]: 1_Google_597_(2020-03-14)
[23:12:35.030354]: 0_Telefonica_663_(2020-03-14)
[23:12:36.275761]: 5_Microsoft_570_(2020-03-14)
[23:12:37.357275]: 3_Tesla_504_(2020-03-14)
[23:12:38.416679]: 1_Google_352_(2020-03-14)
[23:12:39.458587]: 4_NASA_281_(2020-03-14)
[23:12:39.503589]: 0_Telefonica_122_(2020-03-14)
[23:12:41.455449]: 0_Telefonica_580_(2020-03-14)
[23:12:43.457488]: 2_Apple_353_(2020-03-14)
[23:12:45.456390]: 5_Microsoft_233_(2020-03-14)
[23:12:47.458578]: 0_Telefonica_642_(2020-03-14)
[23:12:49.500037]: 0_Telefonica_104_(2020-03-14)
[23:13:33.437727]: 5_Microsoft_397_(2020-03-14)
[23:13:34.671977]: 1_Google_643_(2020-03-14)
[23:13:35.786198]: 2_Apple_462_(2020-03-14)
[23:13:36.871103]: 1_Google_656_(2020-03-14)
[23:13:37.207106]: 4_NASA_458_(2020-03-14)
[23:13:39.205827]: 5_Microsoft_401_(2020-03-14)
[23:13:41.209099]: 5_Microsoft_323_(2020-03-14)
[23:13:43.206485]: 2_Apple_114_(2020-03-14)
[23:13:45.213154]: 1_Google_684_(2020-03-14)
[23:13:47.207617]: 5_Microsoft_280_(2020-03-14)
[23:14:06.307809]: 2_Apple_158_(2020-03-14)
[23:14:07.579809]: 2_Apple_344_(2020-03-14)
[23:14:09.467805]: 0_Telefonica_542_(2020-03-14)
[23:14:11.473613]: 1_Google_645_(2020-03-14)
[23:14:13.473563]: 0_Telefonica_283_(2020-03-14)
[23:14:15.473137]: 3_Tesla_609_(2020-03-14)
