
[15:58:04.930120]: 0_Telefonica_322_(2020-03-14)
[15:58:06.491721]: 1_Google_127_(2020-03-19)
[15:58:07.509787]: 4_NASA_194_(2020-03-19)
[15:58:08.563260]: 4_NASA_224_(2020-03-19)
[15:58:08.622269]: 1_Google_670_(2020-03-19)
[15:58:09.655937]: 1_Google_673_(2020-03-19)
[15:58:10.693866]: 2_Apple_120_(2020-03-19)
[15:58:11.768788]: 3_Tesla_510_(2020-03-19)
[15:58:12.566198]: 1_Google_160_(2020-03-19)
[15:58:12.790494]: 5_Microsoft_314_(2020-03-19)
[15:58:13.851371]: 3_Tesla_441_(2020-03-19)
[15:58:14.872335]: 4_NASA_642_(2020-03-19)
[15:58:15.891486]: 5_Microsoft_248_(2020-03-19)
[15:58:16.579684]: 2_Apple_560_(2020-03-19)
[15:59:35.061273]: 0_Telefonica_670_(2020-03-19)
[15:59:37.070661]: 5_Microsoft_112_(2020-03-19)
[16:01:02.047719]: 3_Tesla_310_(2020-03-19)
[16:02:06.781756]: 4_NASA_417_(2020-03-19)
[16:02:08.792353]: 5_Microsoft_153_(2020-03-19)
[16:02:10.782309]: 2_Apple_632_(2020-03-19)
[16:02:12.786019]: 5_Microsoft_362_(2020-03-19)
[16:04:49.154800]: 1_Google_399_(2020-03-19)
[16:11:40.908900]: 4_NASA_644_(2020-03-19)
[16:11:42.906670]: 3_Tesla_379_(2020-03-19)
[16:13:50.548897]: 1_Google_109_(2020-03-19)
[16:13:54.932397]: 4_NASA_527_(2020-03-19)
[16:13:56.938365]: 3_Tesla_438_(2020-03-19)
[16:13:58.942770]: 5_Microsoft_128_(2020-03-19)
[16:14:31.149747]: 0_Telefonica_349_(2020-03-19)
[16:14:35.049207]: 2_Apple_549_(2020-03-19)
[16:14:37.061169]: 5_Microsoft_395_(2020-03-19)
[16:14:39.065216]: 1_Google_136_(2020-03-19)
[16:14:58.063868]: 4_NASA_227_(2020-03-19)
[16:14:59.262572]: 3_Tesla_323_(2020-03-19)
[16:15:00.336834]: 0_Telefonica_475_(2020-03-19)
[16:16:56.185812]: 3_Tesla_509_(2020-03-19)
[16:25:20.709173]: 4_NASA_196_(2020-03-19)
[16:25:22.739587]: 5_Microsoft_318_(2020-03-19)
[16:25:24.721545]: 4_NASA_123_(2020-03-19)
[16:25:26.726162]: 4_NASA_690_(2020-03-19)
[16:26:07.116184]: 3_Tesla_559_(2020-03-19)
[16:27:37.717819]: 4_NASA_555_(2020-03-19)
[16:27:39.722898]: 4_NASA_215_(2020-03-19)
[16:27:54.412696]: 3_Tesla_508_(2020-03-19)
[16:28:09.149656]: 3_Tesla_609_(2020-03-19)
[16:28:58.132726]: 2_Apple_440_(2020-03-19)
[16:28:59.329436]: 1_Google_477_(2020-03-19)
[16:30:01.358269]: 0_Telefonica_397_(2020-03-19)
[16:30:03.353895]: 1_Google_542_(2020-03-19)
[16:30:05.356342]: 1_Google_105_(2020-03-19)
[16:30:37.598286]: 0_Telefonica_350_(2020-03-19)
[16:30:42.213695]: 0_Telefonica_491_(2020-03-19)
[16:30:44.208914]: 5_Microsoft_406_(2020-03-19)
[16:31:41.237165]: 3_Tesla_584_(2020-03-19)
[16:36:16.736468]: 0_Telefonica_522_(2020-03-19)
[16:36:18.733690]: 4_NASA_140_(2020-03-19)
[16:36:20.735828]: 0_Telefonica_389_(2020-03-19)
[16:36:22.738195]: 2_Apple_189_(2020-03-19)
[16:36:24.844797]: 4_NASA_352_(2020-03-19)
[16:38:56.555146]: 0_Telefonica_205_(2020-03-19)
[16:38:58.565100]: 2_Apple_660_(2020-03-19)
[16:39:37.797259]: 3_Tesla_513_(2020-03-19)
[16:40:20.427236]: 0_Telefonica_193_(2020-03-19)
[16:40:22.426029]: 1_Google_264_(2020-03-19)
[16:41:08.784136]: 1_Google_620_(2020-03-19)
[16:41:58.224804]: 1_Google_287_(2020-03-19)
[16:42:00.230243]: 5_Microsoft_575_(2020-03-19)
[16:42:02.231686]: 3_Tesla_396_(2020-03-19)
[16:42:04.231297]: 3_Tesla_424_(2020-03-19)
[16:49:15.088834]: 1_Google_513_(2020-03-19)
[16:50:04.763510]: 4_NASA_202_(2020-03-19)
[16:50:06.778005]: 4_NASA_598_(2020-03-19)
[16:52:23.078295]: 2_Apple_603_(2020-03-19)
[16:52:30.158123]: 4_NASA_415_(2020-03-19)
[16:53:05.091700]: 3_Tesla_420_(2020-03-19)
[16:53:34.076240]: 5_Microsoft_532_(2020-03-19)
[16:53:36.077614]: 4_NASA_659_(2020-03-19)
[16:53:59.322366]: 2_Apple_413_(2020-03-19)
[16:54:59.611820]: 5_Microsoft_510_(2020-03-19)
[16:55:01.608674]: 5_Microsoft_638_(2020-03-19)
[16:55:07.978177]: 4_NASA_301_(2020-03-19)
[16:55:09.166241]: 4_NASA_538_(2020-03-19)
[16:55:10.250383]: 0_Telefonica_557_(2020-03-19)
[16:55:41.841588]: 4_NASA_185_(2020-03-19)
[16:55:43.043028]: 4_NASA_235_(2020-03-19)
[16:55:55.881383]: 3_Tesla_628_(2020-03-19)
[16:55:57.889510]: 3_Tesla_282_(2020-03-19)
[17:00:43.143480]: 0_Telefonica_112_(2020-03-19)
[18:18:44.435588]: 1_Google_146_(2020-03-19)
[18:18:46.458349]: 0_Telefonica_464_(2020-03-19)
[18:18:48.457816]: 5_Microsoft_197_(2020-03-19)
[18:18:50.461880]: 2_Apple_633_(2020-03-19)
[18:18:52.462512]: 0_Telefonica_592_(2020-03-19)
[18:18:54.463917]: 5_Microsoft_196_(2020-03-19)
[18:18:56.467705]: 1_Google_576_(2020-03-19)
[18:18:58.469730]: 1_Google_317_(2020-03-19)
[18:19:00.472586]: 1_Google_506_(2020-03-19)
[18:19:02.479156]: 3_Tesla_119_(2020-03-19)
[18:19:04.482554]: 3_Tesla_394_(2020-03-19)
[18:19:06.484526]: 1_Google_544_(2020-03-19)
[18:19:08.484554]: 2_Apple_533_(2020-03-19)
[18:19:10.488916]: 3_Tesla_404_(2020-03-19)
[18:19:12.488911]: 1_Google_170_(2020-03-19)
[18:19:14.489711]: 1_Google_686_(2020-03-19)
[18:19:16.491771]: 1_Google_112_(2020-03-19)
[18:19:18.494027]: 5_Microsoft_252_(2020-03-19)
[18:19:20.497906]: 2_Apple_225_(2020-03-19)
[18:19:22.498157]: 3_Tesla_204_(2020-03-19)
[18:19:24.500563]: 1_Google_173_(2020-03-19)
